grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
83,0,SecondPhase,427,52.30749999999999,157.04215456674473,178.28571428571428,156,136,201,176,155.3380951166243,23.31680264534386
84,0,SecondPhase,225,27.562499999999996,29.288888888888888,164.92444444444445,157,9,174,51,96.84062043356595,16.925687506432688
85,0,SecondPhase,3022,370.19499999999994,554.0512905360688,243.10986101919258,159,497,313,605,923.1107857999043,62.03007257927127
86,0,SecondPhase,100,12.249999999999998,828.17,165.65,159,824,174,834,37.21320343559643,11.283791670955125
87,0,SecondPhase,322,39.44499999999999,866.7732919254659,176.68944099378882,162,859,193,876,81.59797974644667,20.248040236149336
88,0,SecondPhase,116,14.209999999999997,901.801724137931,169.67241379310346,163,891,176,914,53.35533905932738,12.153015559492998
89,0,SecondPhase,754,92.365,814.393899204244,205.92175066312998,166,793,248,844,273.4629867976521,30.984231743425763
90,0,SecondPhase,552,67.61999999999999,421.7536231884058,192.31521739130434,167,403,217,444,232.63455967290594,26.510907730475957
91,0,SecondPhase,222,27.194999999999997,1010.2837837837837,176.48648648648648,171,998,183,1024,66.14213562373095,16.812470934731934
92,0,SecondPhase,135,16.537499999999998,12.125925925925927,179.1037037037037,172,0,188,30,74.52691193458118,13.110581167104948
93,0,SecondPhase,112,13.719999999999999,802.1428571428571,179.51785714285714,174,797,186,808,36.14213562373095,11.941642642883693
94,0,SecondPhase,28,3.4299999999999997,242.07142857142858,178.0,175,239,181,246,17.899494936611664,5.970821321441846
95,0,SecondPhase,164,20.089999999999996,881.2256097560976,185.66463414634146,177,875,197,889,51.698484809834994,14.450303987687134
96,0,SecondPhase,137,16.7825,83.87591240875912,188.1021897810219,182,68,196,100,73.35533905932738,13.207339536360731
97,0,SecondPhase,296,36.26,14.888513513513514,195.0,186,0,215,47,124.70458146424488,19.413369239820483
98,0,SecondPhase,90,11.024999999999999,167.12222222222223,196.11111111111111,187,163,207,172,43.17766952966369,10.704744696916627
99,0,SecondPhase,124,15.189999999999998,1010.3306451612904,199.01612903225808,188,1006,211,1016,80.73401871576775,12.565098628628435
100,0,SecondPhase,111,13.597499999999998,962.5045045045046,198.27927927927928,189,956,208,968,54.2842712474619,11.888212206450685
101,0,SecondPhase,65,7.962499999999999,259.26153846153846,195.33846153846153,192,252,200,267,34.384776310850235,9.09728368293446
102,0,SecondPhase,66,8.084999999999999,58.39393939393939,199.43939393939394,195,54,205,65,29.79898987322333,9.166995688475081
103,0,SecondPhase,213,26.092499999999998,26.690140845070424,208.03755868544602,196,19,218,38,69.01219330881975,16.46815177937675
